index,rssi
618,-57.0
619,-57.0
620,-60.0
621,-60.0
622,-60.0
623,-60.0
624,-60.0
625,-60.0
626,-58.0
627,-58.0
628,-57.0
629,-57.0
630,-59.0
631,-58.0
632,-58.0
633,-60.0
634,-60.0
635,-60.0
636,-57.0
637,-58.0
638,-58.0
639,-57.0
640,-60.0
641,-59.0
642,-59.0
643,-60.0
644,-60.0
645,-58.0
646,-58.0
647,-57.0
648,-60.0
649,-60.0
650,-59.0
651,-58.0
652,-61.0
653,-56.0
654,-56.0
655,-56.0
656,-56.0
657,-57.0
658,-58.0
659,-58.0
660,-58.0
661,-59.0
662,-59.0
663,-58.0
664,-57.0
665,-56.0
666,-55.0
667,-58.0
668,-58.0
669,-58.0
670,-57.0
671,-57.0
672,-57.0
673,-58.0
674,-58.0
675,-58.0
676,-55.0
677,-55.0
678,-55.0
679,-54.0
680,-57.0
681,-57.0
682,-57.0
683,-58.0
684,-59.0
685,-58.0
686,-56.0
687,-56.0
688,-56.0
689,-58.0
690,-58.0
691,-58.0
692,-58.0
693,-58.0
694,-57.0
695,-58.0
696,-54.0
697,-55.0
698,-56.0
699,-60.0
700,-59.0
701,-60.0
702,-59.0
703,-59.0
704,-58.0
705,-57.0
706,-56.0
707,-56.0
708,-56.0
709,-60.0
710,-59.0
711,-58.0
712,-57.0
713,-58.0
714,-57.0
715,-57.0
716,-56.0
717,-56.0
718,-54.0
719,-58.0
720,-58.0
721,-58.0
722,-58.0
723,-57.0
724,-58.0
725,-58.0
726,-58.0
727,-54.0
728,-54.0
729,-60.0
730,-60.0
731,-60.0
732,-59.0
733,-58.0
734,-58.0
735,-58.0
736,-55.0
737,-55.0
738,-56.0
739,-55.0
740,-58.0
741,-59.0
742,-58.0
743,-58.0
744,-56.0
745,-56.0
746,-56.0
747,-56.0
748,-59.0
749,-58.0
750,-58.0
751,-56.0
752,-57.0
753,-57.0
754,-57.0
755,-56.0
756,-56.0
757,-56.0
758,-57.0
759,-56.0
760,-59.0
761,-60.0
762,-58.0
763,-57.0
764,-56.0
765,-56.0
766,-56.0
767,-56.0
768,-56.0
769,-56.0
770,-58.0
771,-58.0
772,-58.0
773,-58.0
774,-58.0
775,-57.0
776,-60.0
777,-60.0
778,-56.0
779,-56.0
780,-57.0
781,-60.0
782,-58.0
783,-58.0
784,-58.0
785,-57.0
786,-56.0
787,-61.0
788,-59.0
789,-56.0
790,-56.0
791,-56.0
792,-56.0
793,-56.0
794,-60.0
795,-61.0
796,-57.0
797,-59.0
798,-57.0
799,-58.0
800,-54.0
801,-53.0
802,-52.0
803,-54.0
804,-63.0
805,-60.0
806,-61.0
807,-70.0
808,-73.0
809,-57.0
810,-56.0
811,-57.0
812,-59.0
813,-59.0
814,-59.0
815,-58.0
816,-61.0
817,-65.0
818,-64.0
819,-64.0
820,-56.0
821,-62.0
822,-62.0
823,-62.0
824,-58.0
825,-64.0
826,-74.0
827,-62.0
828,-56.0
829,-55.0
830,-55.0
831,-67.0
832,-63.0
833,-60.0
834,-59.0
835,-59.0
836,-58.0
837,-57.0
838,-56.0
839,-57.0
840,-58.0
841,-59.0
842,-59.0
843,-57.0
844,-54.0
845,-56.0
846,-56.0
847,-56.0
848,-60.0
849,-60.0
850,-60.0
851,-59.0
852,-57.0
853,-58.0
854,-58.0
855,-57.0
856,-57.0
857,-57.0
858,-57.0
859,-60.0
860,-60.0
861,-60.0
862,-60.0
863,-57.0
864,-57.0
865,-57.0
866,-57.0
867,-57.0
868,-57.0
869,-60.0
870,-60.0
871,-60.0
872,-59.0
873,-58.0
874,-58.0
875,-58.0
876,-56.0
877,-58.0
878,-56.0
879,-54.0
880,-60.0
881,-62.0
882,-61.0
883,-56.0
884,-55.0
885,-55.0
886,-55.0
887,-55.0
888,-60.0
889,-60.0
890,-60.0
891,-55.0
892,-55.0
893,-56.0
894,-55.0
895,-56.0
896,-56.0
897,-56.0
898,-56.0
899,-60.0
900,-60.0
901,-60.0
902,-55.0
903,-56.0
904,-61.0
905,-62.0
906,-53.0
907,-55.0
908,-56.0
909,-62.0
910,-62.0
911,-62.0
912,-63.0
913,-57.0
914,-62.0
915,-57.0
916,-58.0
917,-58.0
918,-58.0
919,-57.0
920,-56.0
921,-62.0
922,-59.0
923,-61.0
924,-61.0
925,-58.0
926,-59.0
927,-58.0
928,-58.0
929,-57.0
930,-57.0
931,-57.0
932,-57.0
933,-61.0
934,-61.0
935,-61.0
936,-57.0
937,-60.0
938,-60.0
939,-60.0
940,-59.0
941,-59.0
942,-59.0
943,-56.0
944,-56.0
945,-56.0
946,-56.0
947,-62.0
948,-61.0
949,-61.0
950,-59.0
951,-59.0
952,-59.0
953,-58.0
954,-56.0
955,-59.0
956,-60.0
957,-60.0
958,-57.0
959,-58.0
960,-56.0
961,-61.0
962,-61.0
963,-60.0
964,-58.0
965,-59.0
966,-58.0
967,-64.0
968,-58.0
969,-55.0
970,-54.0
971,-60.0
972,-62.0
973,-58.0
974,-58.0
975,-57.0
976,-60.0
977,-62.0
978,-62.0
979,-62.0
980,-61.0
981,-62.0
982,-62.0
983,-62.0
984,-60.0
985,-60.0
986,-62.0
987,-58.0
988,-60.0
989,-56.0
990,-57.0
991,-58.0
992,-59.0
993,-61.0
994,-61.0
995,-62.0
996,-63.0
997,-60.0
998,-63.0
999,-65.0
999,-64.0
999,-59.0
999,-57.0
999,-57.0
999,-56.0
999,-60.0
999,-60.0
999,-59.0
999,-58.0
999,-57.0
999,-58.0
999,-56.0
999,-54.0
999,-54.0
999,-54.0
999,-61.0
999,-62.0
999,-56.0
999,-56.0
999,-56.0
999,-56.0
999,-56.0
999,-60.0
999,-57.0
999,-60.0
999,-61.0
999,-60.0
999,-60.0
999,-59.0
999,-57.0
999,-58.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-57.0
999,-57.0
999,-59.0
999,-58.0
999,-62.0
999,-62.0
999,-62.0
999,-60.0
999,-60.0
999,-64.0
999,-63.0
999,-60.0
999,-60.0
999,-58.0
999,-57.0
999,-62.0
999,-63.0
999,-62.0
999,-63.0
999,-59.0
999,-59.0
999,-58.0
999,-58.0
999,-60.0
999,-62.0
999,-62.0
999,-60.0
999,-61.0
999,-62.0
999,-61.0
999,-60.0
999,-62.0
999,-62.0
999,-61.0
999,-61.0
999,-61.0
999,-61.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-58.0
999,-62.0
999,-62.0
999,-61.0
999,-62.0
999,-62.0
999,-62.0
999,-62.0
999,-62.0
999,-62.0
999,-62.0
999,-60.0
999,-60.0
999,-60.0
999,-61.0
999,-60.0
999,-60.0
999,-60.0
999,-58.0
999,-61.0
999,-61.0
999,-61.0
999,-62.0
999,-62.0
999,-63.0
999,-64.0
999,-63.0
999,-63.0
999,-60.0
999,-60.0
999,-61.0
999,-62.0
999,-61.0
999,-61.0
999,-62.0
999,-58.0
999,-60.0
999,-63.0
999,-61.0
999,-61.0
999,-61.0
999,-61.0
999,-61.0
999,-60.0
999,-57.0
999,-57.0
999,-58.0
999,-61.0
999,-62.0
999,-62.0
999,-62.0
999,-61.0
999,-63.0
999,-61.0
999,-61.0
999,-59.0
999,-58.0
999,-58.0
999,-57.0
999,-60.0
999,-62.0
999,-61.0
999,-62.0
999,-61.0
999,-61.0
999,-61.0
999,-61.0
999,-61.0
999,-60.0
999,-61.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-59.0
999,-61.0
999,-60.0
999,-61.0
999,-60.0
999,-60.0
999,-60.0
999,-61.0
999,-61.0
999,-62.0
999,-61.0
999,-62.0
999,-60.0
999,-60.0
999,-58.0
999,-59.0
999,-59.0
999,-59.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-59.0
999,-59.0
999,-59.0
999,-61.0
999,-60.0
999,-61.0
999,-61.0
999,-62.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-62.0
999,-61.0
999,-59.0
999,-61.0
999,-62.0
999,-62.0
999,-62.0
999,-61.0
999,-57.0
999,-57.0
999,-57.0
999,-64.0
999,-64.0
999,-64.0
999,-63.0
999,-61.0
999,-60.0
999,-60.0
999,-60.0
999,-58.0
999,-60.0
999,-59.0
999,-62.0
999,-64.0
999,-58.0
999,-59.0
999,-62.0
999,-58.0
999,-58.0
999,-58.0
999,-61.0
999,-64.0
999,-63.0
999,-65.0
999,-64.0
999,-59.0
999,-61.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-63.0
999,-64.0
999,-62.0
999,-59.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-62.0
999,-61.0
999,-62.0
999,-61.0
999,-57.0
999,-57.0
999,-57.0
999,-57.0
999,-56.0
999,-58.0
999,-57.0
999,-56.0
999,-62.0
999,-61.0
999,-62.0
999,-62.0
999,-60.0
999,-59.0
999,-58.0
999,-64.0
999,-56.0
999,-57.0
999,-61.0
999,-61.0
999,-61.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-58.0
999,-57.0
999,-56.0
999,-56.0
999,-62.0
999,-62.0
999,-60.0
999,-57.0
999,-57.0
999,-60.0
999,-57.0
999,-55.0
999,-56.0
999,-56.0
999,-56.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-61.0
999,-61.0
999,-61.0
999,-61.0
999,-57.0
999,-58.0
999,-56.0
999,-60.0
999,-60.0
999,-59.0
999,-58.0
999,-58.0
999,-59.0
999,-57.0
999,-58.0
999,-57.0
999,-56.0
999,-59.0
999,-60.0
999,-60.0
999,-61.0
999,-56.0
999,-58.0
999,-56.0
999,-58.0
999,-60.0
999,-60.0
999,-60.0
999,-61.0
999,-61.0
999,-60.0
999,-61.0
999,-57.0
999,-56.0
999,-57.0
999,-57.0
999,-58.0
999,-59.0
999,-61.0
999,-60.0
999,-61.0
999,-57.0
999,-56.0
999,-57.0
999,-56.0
999,-59.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
999,-56.0
999,-58.0
999,-56.0
999,-57.0
999,-60.0
999,-60.0
999,-59.0
999,-60.0
999,-60.0
999,-59.0
999,-60.0
999,-56.0
999,-56.0
999,-58.0
999,-60.0
999,-60.0
999,-60.0
999,-60.0
